neighbourhood_group_encoded,neighbourhood_encoded,room_type_encoded,price_category,minimum_nights,number_of_reviews
2,123,0,medium,30,15
0,44,1,low,3,380
2,12,0,medium,2,86
2,82,0,medium,3,248
0,17,0,medium,5,49
0,218,0,medium,18,54
2,123,0,medium,7,3
0,44,1,low,1,1
0,84,0,high,2,56
2,45,1,low,2,163
2,123,1,low,2,247
0,122,1,low,10,116
2,109,0,medium,14,27
0,3,0,high,1,52
0,218,0,medium,6,39
0,44,1,low,14,35
0,44,0,low,1,320
3,42,0,medium,4,30
2,123,0,low,3,225
2,135,0,medium,30,95
2,12,0,medium,4,70
0,208,1,high,2,35
0,16,1,low,2,0
2,124,0,medium,4,50
2,124,0,high,2,29
2,107,0,medium,2,23
0,44,0,medium,2,142
0,16,0,high,2,70
2,12,1,low,2,38
2,74,1,low,1,82
0,16,0,medium,2,403
0,17,1,low,1,3
2,13,0,high,30,3
0,44,0,medium,1,116
2,82,0,medium,2,175
3,89,0,low,3,28
0,114,0,medium,4,24
2,124,0,medium,2,15
0,69,1,medium,4,105
2,124,0,high,10,22
2,150,1,low,2,263
2,45,0,medium,3,86
0,208,0,medium,4,10
2,107,0,high,7,18
2,82,0,medium,5,8
2,123,0,low,20,70
2,124,0,high,3,150
2,123,1,low,2,115
0,16,0,medium,2,69
2,46,0,medium,3,232
2,107,0,high,1,35
0,66,0,high,3,18
0,66,0,medium,3,68
0,16,0,medium,4,22
0,44,0,high,8,17
0,16,1,low,1,34
2,124,0,medium,7,8
0,208,0,high,4,0
0,17,0,low,5,2
2,49,0,high,4,52
0,44,0,high,2,74
0,56,0,medium,3,18
2,124,0,high,2,72
0,17,0,medium,2,191
0,84,0,high,4,0
1,157,0,low,1,197
0,3,0,high,4,19
3,42,0,medium,1,414
2,124,1,low,2,8
2,107,0,medium,2,0
0,16,1,low,7,25
0,44,1,low,3,119
0,44,0,high,2,203
3,59,1,low,40,53
2,82,0,medium,2,104
0,16,1,medium,3,175
0,44,1,low,3,38
2,124,0,high,45,39
2,12,0,low,31,88
2,12,1,medium,1,27
2,124,0,medium,5,117
2,211,1,low,3,43
2,82,0,medium,5,4
2,124,0,medium,2,385
2,12,1,low,1,64
2,12,1,low,1,39
0,208,1,medium,2,37
0,17,0,high,3,10
0,16,0,high,2,103
3,59,1,low,40,41
2,124,1,low,6,3
0,44,0,high,3,227
2,124,0,high,5,37
2,123,0,medium,2,29
2,124,1,low,3,205
0,44,0,medium,5,42
0,16,0,low,2,280
2,82,1,low,4,86
0,78,1,medium,2,54
2,99,0,high,7,7
0,187,1,low,5,57
3,59,1,low,44,31
0,17,0,high,31,188
2,116,1,low,3,480
0,83,1,low,2,34
2,99,0,high,5,6
0,208,0,high,9,3
2,107,0,high,5,2
2,107,1,low,1,20
0,17,0,medium,2,129
0,16,0,medium,3,147
2,109,0,medium,28,101
0,190,0,high,2,11
0,17,0,medium,65,11
0,44,1,low,2,41
2,12,0,low,2,87
1,58,1,low,4,117
2,124,0,low,2,86
2,52,0,medium,7,0
0,190,0,low,2,15
2,45,1,low,2,35
0,44,1,medium,2,17
0,3,1,medium,3,3
0,44,1,low,5,43
0,44,2,low,3,168
2,82,1,low,3,241
0,55,0,high,2,105
2,116,0,medium,2,11
0,17,0,high,30,30
2,123,0,low,3,31
0,16,1,medium,4,49
2,124,0,medium,4,23
2,82,0,high,2,20
0,208,0,high,10,18
0,77,0,medium,6,90
0,3,1,medium,2,99
0,66,0,high,1,6
3,42,0,medium,30,21
3,42,0,low,30,24
0,44,0,medium,2,111
0,190,0,medium,2,86
0,114,0,medium,15,66
1,112,0,medium,2,271
2,124,1,low,2,227
2,124,1,low,4,80
0,114,1,medium,30,5
2,12,0,low,2,187
0,208,0,high,1,2
2,124,0,high,6,1
2,158,0,medium,3,67
0,16,0,medium,1,63
0,122,1,low,1,89
0,208,1,high,4,1
2,81,0,medium,3,177
2,123,0,low,4,90
0,84,0,medium,7,39
2,12,0,medium,3,42
2,158,0,high,3,33
2,107,0,medium,3,179
0,16,1,medium,3,81
0,122,1,medium,28,43
2,124,1,low,30,52
3,59,1,low,2,160
0,208,0,medium,6,23
0,17,1,low,6,35
0,83,1,low,1,225
2,166,1,low,1,401
2,166,1,low,1,72
2,124,1,low,1,46
2,12,0,medium,3,83
2,107,1,medium,1,211
2,107,0,high,5,15
0,122,0,medium,1,122
0,44,1,low,2,295
2,12,0,low,3,207
0,44,1,low,3,50
2,124,1,medium,2,273
0,84,2,low,1,0
0,16,0,medium,30,25
2,107,0,medium,4,105
2,12,1,low,4,72
0,84,0,medium,1,8
2,211,0,high,2,58
2,124,1,medium,6,8
0,193,1,low,3,172
0,75,1,medium,1,330
2,12,0,medium,3,123
2,116,1,low,2,55
2,124,0,medium,4,87
1,179,1,low,3,258
2,45,0,medium,2,4
2,124,0,medium,14,31
2,103,0,low,4,128
2,124,0,medium,3,14
2,12,0,medium,3,30
3,59,1,low,28,258
2,82,0,medium,3,228
0,16,0,high,1,60
0,114,1,low,90,9
0,75,0,high,2,179
2,13,0,medium,7,9
2,116,1,low,1,1
0,3,1,high,30,25
4,144,1,low,2,2
2,12,1,low,3,152
3,151,0,low,30,24
0,17,0,high,2,45
2,26,0,medium,30,7
0,44,1,low,7,19
2,76,0,medium,1,24
2,211,0,medium,4,8
0,3,0,medium,1,29
0,3,0,medium,1,14
0,44,1,medium,1,33
0,44,1,low,4,99
2,12,1,low,3,59
0,16,0,medium,3,142
0,199,1,high,2,0
2,82,0,medium,29,22
0,206,1,medium,3,82
2,107,1,medium,2,23
0,208,0,medium,4,32
2,158,0,medium,5,24
0,44,1,low,1,59
0,44,1,high,55,6
2,46,0,high,4,18
0,218,0,medium,4,3
2,12,1,low,3,115
2,45,1,medium,3,154
2,211,1,high,1,164
4,15,0,low,6,76
2,124,0,high,3,116
2,12,0,low,3,234
0,16,0,high,2,120
2,12,0,medium,4,82
0,114,0,high,3,13
